Filename	Sample_number
Sher11-D1May5_S11_L001_R1_001.fastq	80_R1.fastq
Sher12-D1Jul5_S12_L001_R1_001.fastq	81_R1.fastq
Sher13-D1Aug5_S13_L001_R1_001.fastq	82_R1.fastq
Sher14-V2Oct4_S14_L001_R1_001.fastq	83_R1.fastq
Sher15-V2Nov4_S15_L001_R1_001.fastq	84_R1.fastq
Sher16-V2Jan5_S16_L001_R1_001.fastq	85_R1.fastq
Sher17-V2Mar5_S17_L001_R1_001.fastq	86_R1.fastq
Sher18-V2Ap5_S18_L001_R1_001.fastq	87_R1.fastq
Sher19-V2May5_S19_L001_R1_001.fastq	88_R1.fastq
Sher20-V2Jun5_S20_L001_R1_001.fastq	89_R1.fastq
Sher21-V2Aug5_S21_L001_R1_001.fastq	90_R1.fastq
Sher22-RMar2-5_S22_L001_R1_001.fastq	91_R1.fastq
Sher38-Pro9313_S38_L001_R1_001.fastq	92_R1.fastq
Sher39_Pro_9313_S39_L001_R1_001.fastq	93_R1.fastq
Sher40-RNov4_S40_L001_R1_001.fastq	94_R1.fastq
Sher41-RMar5_S41_L001_R1_001.fastq	95_R1.fastq
Sher42-RMay5-5_S42_L001_R1_001.fastq	96_R1.fastq
Sher45_R_2_Jul_13_S45_L001_R1_001.fastq	97_R1.fastq
Sher46-RJun4_S46_L001_R1_001.fastq	98_R1.fastq
Sher47-DalNov2-4_S47_L001_R1_001.fastq	99_R1.fastq
Sher97-D1-gff-Jan-15_S143_L001_R1_001.fastq	100_R1.fastq
Sher98-V2-gff-Dec-15_S144_L001_R1_001.fastq	101_R1.fastq
Sher99-D1-gff-Oct-14_S145_L001_R1_001.fastq	102_R1.fastq
Sher100-R-gff-Dec-15_S146_L001_R1_001.fastq	103_R1.fastq
Sher101-D1-gff-Jun-15_S147_L001_R1_001.fastq	104_R1.fastq
Sher103-R-gff-Nov-15_S149_L001_R1_001.fastq	105_R1.fastq
