"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","ASV"
"ASV171",87.4850679738881,5.20708886530729,2.05084189966684,0.0738706571056899,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","GKS98 freshwater group","ASV171"
"ASV172",10.8706307159288,22.0459314951626,2.954495435085,1.47977112096968e-12,"Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Cryomorphaceae_uncl","ASV172"
"ASV176",37.0644089758847,23.5854694623933,2.95362052770873,4.3343307975305e-14,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus","ASV176"
"ASV182",85.2391175108661,24.9167535716048,2.48577073385774,2.13055092040923e-21,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans","ASV182"
"ASV226",14.4403041720392,22.4343027164342,2.95418952640629,5.80075825042991e-13,"Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","ASV226"
"ASV235",15.6884284732007,22.5538986560331,2.95411505839758,4.46898336403548e-13,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","ASV235"
"ASV252",48.1610640109467,24.1205851864544,2.88193516946892,3.16254230828278e-15,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_uncl","ASV252"
"ASV260",9.54492255482207,21.8641598122934,2.95466761443647,2.15277210310367e-12,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","ASV260"
"ASV269",16.2037080268946,22.6022878853975,2.95408790120229,4.04513947014244e-13,"Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","ASV269"
"ASV281",6.7576955029218,21.3845619527268,2.95524719515638,6.56478219324126e-12,"Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group","ASV281"
"ASV305",40.5391010665184,22.4549463719402,2.95358945336971,5.57749267686474e-13,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans","ASV305"
"ASV318",10.6292531454337,22.0098498790459,2.95452355247437,1.58560107074794e-12,"Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","ASV318"
"ASV363",66.0894565210454,24.5628944670386,2.95346092542446,4.59540081495682e-15,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans","ASV363"
"ASV366",20.7451628508597,22.9467858138457,2.71221213320743,1.89223200775902e-15,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rhodoluna","ASV366"
"ASV394",13.600454034145,21.8526115778401,2.95424706390719,2.15277210310367e-12,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rhodoluna","ASV394"
"ASV396",15.7005728620267,7.25221018385766,2.66088588693717,0.0480536337334099,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacteraceae_uncl","ASV396"
"ASV417",17.6955691499362,22.7199580498326,2.69375663153432,2.15358122000063e-15,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","ASV417"
"ASV449",38.9979507007737,23.8170990048352,2.83454962422793,2.5912434394419e-15,"Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group","ASV449"
"ASV460",23.3329179166913,3.85561408903654,1.51422329210966,0.0730334037636487,"Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobiaceae_uncl","ASV460"
"ASV516",13.4609752831481,7.03047847878318,2.63178458866973,0.0537101033029283,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella","ASV516"
"ASV528",28.1606915571572,6.14632282636987,2.27840354665797,0.0511861122771238,"Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","UCG-004","ASV528"
"ASV542",12.4304036541171,6.9160167882328,2.20479227183033,0.0157709174376939,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum","ASV542"
"ASV605",19.2351137541807,21.7402099185724,2.95395683972534,2.76471973652897e-12,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus","ASV605"
"ASV606",12.4167213234861,22.2309527127585,2.9543416027004,9.38240222335641e-13,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","ASV606"
"ASV637",21.3985939122468,22.9835422748046,2.95388639168164,1.65315155889613e-13,"Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ASV637"
"ASV661",13.8869268169665,22.3859909142877,2.9542267547675,6.41662714647682e-13,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","ASV661"
"ASV667",7.27045418514915,21.0200169470481,2.95510804858537,1.58168864064875e-11,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus Planktoluna","ASV667"
"ASV697",14.5920509371074,7.14630759683238,2.38280178346805,0.0231941026489092,"Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","ASV697"
"ASV700",11.0766592843854,6.74858423787221,2.59514217828241,0.0636459144268587,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera","ASV700"
"ASV701",9.89596500739112,21.7401525624064,2.95461696336333,2.76471973652897e-12,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","ASV701"
"ASV717",10.1341238667158,20.5866235172313,2.954585486527,4.4054196512493e-11,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","ASV717"
"ASV718",13.0884520598041,6.98949761461292,2.62247060076063,0.0539321430084696,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rhodoluna","ASV718"
"ASV775",4.58022055018355,5.47336479248334,1.96888592136583,0.0415672298147908,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella","ASV775"
"ASV943",9.5843504304521,21.8690532079823,2.95466148534005,2.15277210310367e-12,"Proteobacteria","Gammaproteobacteria","211ds20","211ds20_uncl","211ds20_uncl","ASV943"
"ASV1196",9.9229438664845,6.58991916443968,2.60748277993701,0.075668678025213,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ASV1196"
